sample_id,sample_date,k,no3_n,mg,ca,nh4_n
Q1,1990-09-18,0.79,NA,3.36,5.88,NA
Q1,1990-09-25,0.81,NA,3.33,6.21,NA
Q1,1990-10-02,1,76,2.55,4.99,NA
Q1,1990-10-09,0.98,48,3.08,5.65,NA
Q1,1990-10-16,0.87,9,3.49,5.55,NA
Q1,1990-10-23,0.95,67,3.16,5.19,NA
Q1,1990-10-30,1.19,130,1.6,2.64,NA
Q1,1990-11-06,1.04,257,2.94,4.63,NA
Q1,1990-11-13,0.97,113,3.27,5.05,NA
Q1,1990-11-20,0.85,75,3.32,5.03,NA
Q1,1990-11-27,0.95,142,3,4.7,NA
Q1,1990-12-04,1.31,236,1.57,2.65,NA
Q1,1990-12-04,0.96,8,2.89,4.94,NA
Q1,1990-12-11,0.78,7,3.25,5.69,NA
Q1,1990-12-14,2.14,300,1.65,2.87,NA
Q1,1990-12-18,0.69,87,3.24,5.64,NA
Q1,1990-12-25,0.86,121,3.25,5.65,NA
Q1,1990-12-31,1.23,233,2.37,3.96,NA
Q1,1991-01-08,1.07,131,2.8,4.89,NA
Q1,1991-01-15,0.79,NA,3.65,6.78,NA
Q1,1991-01-22,0.67,176,3.36,5.91,NA
Q1,1991-01-29,0.77,188,3.3,6.18,NA
Q1,1991-02-05,0.83,NA,3.01,5.4,NA
Q1,1991-02-12,0.8,28,3.57,6.39,NA
Q1,1991-02-19,1.12,13,2.41,4.27,NA
Q1,1991-02-26,0.86,89,3.36,5.37,NA
Q1,1991-03-05,0.7,74,3.25,5.96,NA
Q1,1991-03-12,0.79,47,3.1,5.8,NA
Q1,1991-03-19,0.81,158,3.25,6.1,NA
Q1,1991-03-22,NA,NA,NA,NA,NA
Q1,1991-03-26,0.71,113,3.1,5.84,NA
Q1,1991-04-02,0.75,78,3.27,5.99,NA
Q1,1991-04-09,0.77,36,3.13,5.59,NA
Q1,1991-04-15,0.9,23,3.01,5.25,NA
Q1,1991-04-23,0.93,19,3.14,5.51,NA
Q1,1991-04-30,0.78,31,1.92,3.13,NA
Q1,1991-05-07,0.89,70,3,5.62,NA
Q1,1991-05-14,0.96,10,3.01,5.76,NA
Q1,1991-05-21,0.89,10,3.09,5.4,NA
Q1,1991-05-28,0.89,22,3.11,5.26,NA
Q1,1991-05-31,0.92,NA,3.06,5.21,NA
Q1,1991-06-01,NA,NA,NA,NA,NA
Q1,1991-06-04,0.92,136,3.06,5.26,NA
Q1,1991-06-11,1.15,73,3.14,5.36,NA
Q1,1991-06-18,0.87,55,3.01,5.36,NA
Q1,1991-06-25,0.92,NA,3.08,5.14,NA
Q1,1991-07-02,1.17,63,3.09,5.01,NA
Q1,1991-07-09,0.89,69,2.82,5.28,NA
