sample_id,sample_date,nh4_n,mov_avg_nh4_n
Q1,1989-01-03,NA,NA
Q1,1989-01-10,NA,NA
Q1,1989-01-17,NA,NA
Q1,1989-01-24,NA,NA
Q1,1989-01-31,NA,NA
Q1,1989-02-07,NA,NA
Q1,1989-02-14,NA,NA
Q1,1989-02-21,NA,NA
Q1,1989-02-28,NA,NA
Q1,1989-03-07,NA,NA
Q1,1989-03-09,NA,NA
Q1,1989-03-14,NA,NA
Q1,1989-03-14,NA,NA
Q1,1989-03-21,NA,NA
Q1,1989-03-28,NA,NA
Q1,1989-04-04,NA,NA
Q1,1989-04-11,NA,NA
Q1,1989-04-18,NA,NA
Q1,1989-04-25,NA,NA
Q1,1989-05-02,NA,NA
Q1,1989-05-09,NA,NA
Q1,1989-05-16,NA,NA
Q1,1989-05-23,NA,NA
Q1,1989-05-30,NA,NA
Q1,1989-06-06,NA,NA
Q1,1989-06-13,NA,NA
Q1,1989-06-20,NA,NA
Q1,1989-06-27,NA,NA
Q1,1989-07-05,NA,NA
Q1,1989-07-11,NA,NA
Q1,1989-07-18,NA,NA
Q1,1989-07-26,NA,NA
Q1,1989-08-01,NA,NA
Q1,1989-08-08,NA,NA
Q1,1989-08-15,NA,NA
Q1,1989-08-22,NA,NA
Q1,1989-08-29,NA,NA
Q1,1989-09-05,NA,NA
Q1,1989-09-12,NA,NA
Q1,1989-09-20,NA,NA
Q1,1989-09-22,NA,NA
Q1,1989-09-26,NA,NA
Q1,1989-09-26,NA,NA
Q1,1989-10-03,NA,NA
Q1,1989-10-05,NA,NA
Q1,1989-10-10,NA,NA
Q1,1989-10-17,NA,NA
Q1,1989-10-24,NA,NA
Q1,1989-10-31,NA,NA
Q1,1989-11-07,NA,NA
Q1,1989-11-08,NA,NA
Q1,1989-11-14,NA,NA
Q1,1989-11-21,NA,NA
Q1,1989-11-28,NA,NA
Q1,1989-12-05,NA,NA
Q1,1989-12-12,NA,NA
Q1,1989-12-19,NA,NA
Q1,1989-12-26,NA,NA
Q1,1990-01-02,NA,NA
Q1,1990-01-09,NA,NA
Q1,1990-01-16,NA,NA
Q1,1990-01-23,NA,NA
Q1,1990-01-30,NA,NA
Q1,1990-02-06,NA,NA
Q1,1990-02-13,NA,NA
Q1,1990-02-20,NA,NA
Q1,1990-02-27,NA,NA
Q1,1990-03-06,NA,NA
Q1,1990-03-13,NA,NA
Q1,1990-03-20,NA,NA
Q1,1990-03-27,NA,NA
Q1,1990-04-03,NA,NA
Q1,1990-04-10,NA,NA
Q1,1990-04-17,NA,NA
Q1,1990-04-24,NA,NA
Q1,1990-04-25,NA,NA
Q1,1990-04-25,NA,NA
Q1,1990-04-25,NA,NA
Q1,1990-04-26,NA,NA
Q1,1990-05-01,NA,NA
Q1,1990-05-08,NA,NA
Q1,1990-05-10,NA,NA
Q1,1990-05-15,NA,NA
Q1,1990-05-22,NA,NA
Q1,1990-05-29,NA,NA
Q1,1990-06-05,NA,NA
Q1,1990-06-12,NA,NA
Q1,1990-06-19,NA,NA
Q1,1990-06-26,NA,NA
Q1,1990-07-03,NA,NA
Q1,1990-07-10,NA,NA
Q1,1990-07-17,NA,NA
Q1,1990-07-24,NA,NA
Q1,1990-07-31,NA,NA
Q1,1990-08-07,NA,NA
Q1,1990-08-14,NA,NA
Q1,1990-08-21,NA,NA
Q1,1990-08-28,NA,NA
Q1,1990-09-04,NA,NA
Q1,1990-09-11,NA,NA
Q1,1990-09-18,NA,NA
